year,user,comnam,cusip,prc,horrizon,follow,afacc,ni,size,loss,roa,roe,mb,cash,post,post_use,treat,post_treat
2005,1,WELLMAN INC,94970210,6.78,5.811140993,1.416666667,-1.37511699,-30,7.002792694,1,-0.027304997,-0.085861477,1.122974273,0,0,0,0,0
2006,1,WELLMAN INC,94970210,3.19,5.834810737,1.416666667,-4.33826645,-112.4,6.902038972,1,-0.084264573,-0.404152583,2.661290051,0,0,0,0,0
2007,1,WELLMAN INC,94970210,,5.908082938,1.769230769,-4.33826645,-361.3,6.222973015,1,-0.720786963,1.954202586,-0.010687185,0,0,0,0,0
2013,0,AMERICAN AIRLINES GROUP INC,02376R10,25.25,4.941642423,8,-4.33826645,-1834,10.65204579,1,-0.043379535,0.671548883,-2.413765013,0.048490004,1,1,0,0
2010,0,AARONS INC,253530,20.39,4.941642423,9,-0.01333333,118.376,7.315266293,0,0.078808473,0.120863738,1.667291797,0.054502004,1,1,0,0
2011,0,AARONS INC,253530,26.68,5.877735782,11.83333333,-0.02942619,113.767,7.459424721,0,0.065566127,0.116498422,2.066526992,0.117342578,1,1,0,0
2012,0,AARONS INC,253530,28.28,5.877735782,11.5,-0.02998501,173.043,7.50325049,0,0.095449408,0.152309691,1.884792356,0.074652955,1,1,0,0
2013,0,AARONS INC,253530,29.4,5.880532986,11.66666667,-0.15912305,120.666,7.511074028,0,0.066039615,0.105850804,1.881583701,0.127468312,1,1,0,0
2006,0,AAON INC,36020,26.28,5.929589143,2.461538462,-0.02052573,17.133,4.875624713,0,0.13173556,0.187057822,3.540362914,0.002535077,0,0,1,0
2007,0,AAON INC,36020,19.82,5.894402834,1.5,-0.01579148,23.156,4.928267664,0,0.168849351,0.242674492,3.750055334,0.006758627,0,0,1,0
2008,0,AAON INC,36020,20.88,5.874930731,3.5,-0.02729566,28.589,4.954015559,0,0.203129108,0.296191542,3.722715236,0.001961499,0,0,1,0
2009,0,AAON INC,36020,19.49,5.888877958,2.666666667,-0.02590996,27.721,5.057588852,0,0.177458694,0.23492572,2.843416893,0.182168918,1,1,1,1
2010,1,AAON INC,36020,28.21,5.877735782,1,-0.03324782,21.894,5.083123384,0,0.13660101,0.187546578,3.98867782,0.015319024,1,1,1,1
2011,1,AAON INC,36020,20.49,5.894402834,1.083333333,-0.06182205,13.986,5.19285129,0,0.078142373,0.114167701,4.117602854,8.11E-05,1,1,1,1
2012,1,AAON INC,36020,20.87,5.897153868,1.75,-0.06451928,27.449,5.270396173,0,0.141860429,0.198709967,3.704252765,0.017649918,1,1,1,1
2013,1,AAON INC,36020,31.95,5.897153868,1.25,-0.06070915,37.547,5.377331854,0,0.174277306,0.228797241,7.14730997,0.06245704,1,1,1,1
2005,1,APPLE COMPUTER INC,3783310,71.89,5.891644212,22.83333333,-0.02985806,1335,9.354613861,0,0.115574409,0.178810608,5.995897213,0.433664596,0,0,1,0
2006,1,APPLE COMPUTER INC,3783310,84.84,5.894402834,21,-0.01385935,1989,9.753013439,0,0.115605929,0.19921875,6.594365559,0.553372002,0,0,1,0
2007,1,APPLE INC,3783310,198.08,5.908082938,25.53846154,-0.02226552,3496,10.14045511,0,0.137925593,0.24057253,9.21251938,0.543562918,0,0,1,0
